GTM Type,Board Size,Game State,Train Dataset,Test Dataset,Log Folder,#Examples,Epochs,#Clauses,T,s,Train Accuracy,Test Accuracy,Train Time,Test Time,Total Time
Multi,3,0,./data/self/3x3csvToJson.json,./data/self/3x3csvToJson.json,./log/train/train-2024-12-2008:41:25.171971,1800,10,50,300,1.3,87.66666666666667,88.5,8.066714525222778,0.04892730712890625,24.213953733444214
Multi,3,0,./data/self/3x3csvToJson.json,./data/self/3x3csvToJson.json,./log/train/train-2024-12-2008:43:51.838443,1800,100,200,400,1.2,97.5,96.5,2.454979658126831,0.061606407165527344,204.25584745407104
Multi,3,0,./data/self/3x3csvToJson.json,./data/self/3x3csvToJson.json,./log/train/train-2024-12-2008:48:28.865261,1800,100,250,400,1.2,97.61111111111111,97.5,6.453542947769165,0.06524825096130371,224.77573370933533
Multi,3,0,./data/self/3x3csvToJson.json,./data/self/3x3csvToJson.json,./log/train/train-2024-12-2008:59:18.841236,1800,200,500,400,1.2,97.55555555555556,97.0,5.155680418014526,0.0703573226928711,420.78009033203125
Multi,3,0,./data/self/3x3csvToJson.json,./data/self/3x3csvToJson.json,./log/train/train-2024-12-2009:22:19.918840,1800,200,500,400,1.2,99.77777777777777,99.5,6.338484048843384,0.060101985931396484,363.415479183197
Multi,3,0,./data/self/3x3csvToJson.json,./data/self/3x3csvToJson.json,./log/train/train-2024-12-2009:30:35.035316,1800,200,500,400,1.3,99.33333333333333,99.0,2.318657398223877,0.06363630294799805,385.2814838886261
Multi,3,0,./data/self/3x3csvToJson.json,./data/self/3x3csvToJson.json,./log/train/train-2024-12-2009:38:16.731091,1800,200,200,300,1.3,99.77777777777777,100.0,5.13596510887146,0.06168198585510254,368.065034866333
Multi,3,0,./data/self/3x3csvToJson.json,./data/self/3x3csvToJson.json,./log/train/train-2024-12-2010:14:56.024874,1800,200,200,300,1.3,99.8888888888889,99.5,2.3808960914611816,0.05923128128051758,352.92645597457886
Multi,3,0,./data/self/3x3csvToJson.json,./data/self/3x3csvToJson.json,./log/train/train-2024-12-2010:21:53.040292,1800,200,200,300,1.3,100.0,100.0,2.36092472076416,0.05871176719665527,356.8343069553375
Multi,3,0,./data/self/3x3csvToJson.json,./data/self/3x3csvToJson.json,./log/train/train-2024-12-2010:33:23.002676,1800,200,200,300,1.3,99.94444444444444,99.5,2.4184303283691406,0.06090426445007324,363.0113134384155
Multi,3,0,./data/self/3x3csvToJson.json,./data/self/3x3csvToJson.json,./log/train/train-2024-12-2010:39:51.468290,1800,200,200,300,1.3,99.94444444444444,100.0,2.3901431560516357,0.06371641159057617,362.79618859291077
Multi,7,0,./data/kaggle/train-kaggle-2024-12-20-095603.json,./data/kaggle/train-kaggle-2024-12-20-095603.json,./log/train/train-2024-12-2011:33:52.463642,3,1,1,4000,100.0,66.66666666666666,50.0,4.514739990234375,6.628036499023438e-05,4.516408205032349
Multi,7,0,./data/kaggle/train-kaggle-2024-12-20-095603.json,./data/kaggle/train-kaggle-2024-12-20-095603.json,./log/train/train-2024-12-2011:34:19.370449,3,1,1,4000,100.0,66.66666666666666,50.0,0.5300776958465576,1.71661376953125e-05,0.5311973094940186
Multi,7,0,./data/kaggle/train-kaggle-2024-12-20-095603.json,./data/kaggle/train-kaggle-2024-12-20-095603.json,./log/train/train-2024-12-2011:35:21.344918,3,1,1,4000,100.0,66.66666666666666,50.0,4.5154454708099365,2.0742416381835938e-05,4.516412973403931
Multi,3,0,./data/self/train-self-3-50000-0-0-2024-12-19-130926.json,./data/self/train-self-3-50000-0-0-2024-12-19-130926.json,./log/train/train-2024-12-2012:18:27.315581,1800,200,200,300,1.0,91.22222222222223,93.5,2.141028642654419,5.8650970458984375e-05,281.7161889076233
Multi,3,0,./data/self/train-self-3-50000-0-0-2024-12-19-130926.json,./data/self/train-self-3-10000-2-0-2024-12-20-122735.json,./log/train/train-2024-12-2012:28:46.127837,1800,200,200,300,1.0,91.94444444444444,80.0,2.203282594680786,5.459785461425781e-05,283.49219942092896
Multi,3,0,./data/self/3x3csvToJson.json,./data/self/train-self-3-10000-2-0-2024-12-20-122735.json,./log/train/train-2024-12-2012:34:50.155761,1800,200,200,300,1.0,99.8888888888889,74.0,2.383908987045288,4.1961669921875e-05,250.83343482017517
Multi,3,0,./data/self/train-self-3-10000-0-2-2024-12-20-124147.json,./data/self/train-self-3-10000-2-0-2024-12-20-122735.json,./log/train/train-2024-12-2012:45:36.353338,1800,200,400,300,1.0,74.94444444444444,80.0,6.340544700622559,6.0558319091796875e-05,346.9777042865753
Multi,3,0,./data/self/train-self-3-10000-0-2-2024-12-20-124147.json,./data/self/train-self-3-10000-2-0-2024-12-20-122735.json,./log/train/train-2024-12-2013:53:57.951674,100,200,10000,7000,60.0,65.0,70.0,0.6201508045196533,3.9577484130859375e-05,24.48237633705139
Multi,7,0,./data/self/train-self-7-5000-0-0-2024-12-19-220110.json,./data/self/train-self-7-10000-2-0-2024-12-20-122702.json,./log/train/train-2024-12-2015:38:38.947338,100,50,2000,10000,100.0,56.99999999999999,52.0,1.9836156368255615,3.6716461181640625e-05,10.331545114517212
Multi,7,0,./data/self/train-self-7-5000-0-0-2024-12-19-220110.json,./data/self/train-self-7-10000-2-0-2024-12-20-122702.json,./log/train/train-2024-12-2015:39:24.987220,100,50,2000,1,1.0,50.0,48.0,3.3299942016601562,3.528594970703125e-05,11.609604835510254
Multi,7,0,./data/self/train-self-7-5000-0-0-2024-12-19-220110.json,./data/self/train-self-7-10000-2-0-2024-12-20-122702.json,./log/train/train-2024-12-2015:39:59.411391,100,50,2,1,1.0,59.0,56.00000000000001,3.34576416015625,3.5762786865234375e-05,10.236570119857788
Multi,7,0,./data/self/train-self-7-5000-0-0-2024-12-19-220110.json,./data/self/train-self-7-10000-2-0-2024-12-20-122702.json,./log/train/train-2024-12-2015:40:53.902652,100,50,2,10,1.0,55.00000000000001,56.00000000000001,1.9748201370239258,3.24249267578125e-05,8.4763662815094
Multi,7,0,./data/self/train-self-7-5000-0-0-2024-12-19-220110.json,./data/self/train-self-7-10000-2-0-2024-12-20-122702.json,./log/train/train-2024-12-2015:41:32.824075,100,50,20,10,1.0,65.0,57.99999999999999,4.637696981430054,5.698204040527344e-05,11.598636388778687
Multi,3,0,./data/self/3x3csvToJson.json,./data/self/3x3csvToJson.json,./log/train/train-2024-12-2015:43:54.789220,1000,50,20,5,1.0,88.5,92.0,2.4733011722564697,4.982948303222656e-05,41.73585510253906
Multi,3,0,./data/self/3x3csvToJson.json,./data/self/3x3csvToJson.json,./log/train/train-2024-12-2016:00:39.701442,1000,50,20,5,1.0,92.9,96.0,1.1439368724822998,3.6716461181640625e-05,39.900226354599
Multi,3,0,./data/self/train-self-3-10000-0-2-2024-12-20-124147.json,./data/self/train-self-3-10000-2-0-2024-12-20-122735.json,./log/train/train-2024-12-2016:04:58.108416,2000,200,200,300,1.3,76.6,80.5,2.7878239154815674,6.532669067382812e-05,521.1547374725342
Multi,7,0,./data/self/train-self-7-50000-0-5-2024-12-20-170641.json,./data/self/train-self-7-5000-0-0-2024-12-20-170658.json,./log/train/train-2024-12-2020:15:41.415593,100,200,2000,1200,4.0,62.0,50.0,0.6044681072235107,4.935264587402344e-05,15.830081939697266
Multi,7,0,./data/self/train-self-7-50000-0-5-2024-12-20-170641.json,./data/self/train-self-7-5000-0-0-2024-12-20-170658.json,./log/train/train-2024-12-2020:30:21.073713,1000,200,5000,4500,200.0,51.2,51.0,1.380690574645996,5.3882598876953125e-05,229.57707715034485
Multi,7,0,./data/self/train-self-7-50000-0-5-2024-12-20-170641.json,./data/self/train-self-7-5000-0-0-2024-12-20-170658.json,./log/train/train-2024-12-2020:39:38.651496,1000,200,5000,4500,70.0,51.1,55.00000000000001,2.897545576095581,6.937980651855469e-05,245.66606664657593
Multi,3,0,./data/self/train-self-3-500-0-0-2024-12-19-143829.json,./data/self/train-self-3-500-0-0-2024-12-19-143829.json,./log/train/train-2024-12-2021:57:04.315878,100,200,10,10,1.0,72.0,80.0,4.552090644836426,5.984306335449219e-05,18.57151198387146
Multi,3,0,./data/self/train-self-3-500-0-0-2024-12-19-143829.json,./data/self/train-self-3-500-0-0-2024-12-19-143829.json,./log/train/train-2024-12-2021:57:44.276199,100,200,10,10,1.0,69.0,90.0,0.5911939144134521,3.7670135498046875e-05,14.63006067276001
