GTM Type,Board Size,Game State,Train Dataset,Test Dataset,Log Folder,#Examples,Epochs,#Clauses,T,s,Train Accuracy,Test Accuracy,Train Time,Test Time,Total Time
Multi,7,0,./data/kaggle/train-kaggle-2024-12-15-134412.json,./data/kaggle/eval-kaggle-2024-12-15-134412.json,./log/train/train-2024-12-1514:41:31.984184,5000,30,40,400,5.0,89.94,90.8,8.90488576889038,0.7793443202972412,210.03444075584412
Multi,7,0,./data/kaggle/train-kaggle-2024-12-15-134412.json,./data/kaggle/eval-kaggle-2024-12-15-134412.json,./log/train/train-2024-12-1514:46:18.579815,5000,30,40,400,5.0,89.60000000000001,90.12,5.976836442947388,0.7503170967102051,207.03836250305176
Multi,7,0,./data/kaggle/train-kaggle-2024-12-15-134412.json,./data/kaggle/eval-kaggle-2024-12-15-134412.json,./log/train/train-2024-12-1514:51:39.254702,5000,30,40,400,5.0,54.42,54.6,6.069746017456055,0.7762792110443115,214.63367581367493
Multi,11,0,./data/self/train-self-11-5000-0-0-2024-12-15-161309.json,./data/self/eval-self-11-5000-0-0-2024-12-15-161309.json,./log/train/train-2024-12-1515:15:12.502837,5000,5,40,400,5.0,79.16,79.12,7.648285627365112,1.1533451080322266,52.72705292701721
Multi,11,0,./data/self/train-self-11-5000-0-0-2024-12-15-161309.json,./data/self/eval-self-11-5000-0-0-2024-12-15-161309.json,./log/train/train-2024-12-1515:21:25.741778,5000,10,40,400,5.0,89.18,89.60000000000001,6.132642984390259,0.22823023796081543,81.34512329101562
Multi,11,0,./data/self/train-self-11-5000-0-0-2024-12-15-161309.json,./data/self/eval-self-11-5000-0-0-2024-12-15-161309.json,./log/train/train-2024-12-1515:24:53.074990,5000,50,40,400,5.0,78.8,83.39999999999999,6.261276960372925,0.23686647415161133,411.43774366378784
Multi,11,0,./data/self/train-self-11-5000-0-5-2024-12-15-163334.json,./data/self/eval-self-11-5000-0-0-2024-12-15-161309.json,./log/train/train-2024-12-1515:35:49.238715,5000,50,40,400,5.0,89.05999999999999,86.6,6.29260778427124,0.24278664588928223,406.0627007484436
Multi,11,0,./data/self/train-self-11-5000-0-5-2024-12-15-163334.json,./data/self/eval-self-11-5000-0-0-2024-12-15-161309.json,./log/train/train-2024-12-1515:46:34.751394,5000,10,60,400,5.0,89.58,89.60000000000001,8.228354692459106,0.26072001457214355,92.25902724266052
Multi,11,0,./data/self/train-self-11-50000-0-5-2024-12-15-170307.json,./data/self/eval-self-11-5000-0-0-2024-12-15-161309.json,./log/train/train-2024-12-1516:06:22.938601,50000,10,1000,60,5.0,52.672,54.7,75.8843514919281,0.650038480758667,1054.9512629508972
Multi,11,0,./data/self/train-self-11-50000-0-5-2024-12-15-170307.json,./data/self/eval-self-11-5000-0-0-2024-12-15-161309.json,./log/train/train-2024-12-1519:56:03.942466,5000,30,1000,400,2.5,65.78,64.5,8.715353727340698,0.6299471855163574,337.2071189880371
